id;chapter;month;year;is_twelve;annual_established_budget;actual_expenses_beginning_to_end_last_month;actual_expenses_during_month;totalexpenses_until_end_month;existing_connections;total_actual_expenses;balance_of_clause;comments
1;THIRD;25752;19956;false;1519.5;14732.56;17945.75;12191.25;grey;19583.35;29369.74;evict fooey
2;FIRST;5425;32607;true;1137.3;25197.02;29898.44;3692.66;next behind;8442.13;13471.78;oh
3;THIRD;24022;11456;true;14246.8;1636.27;32298.91;1207.95;maunder;10026.23;1560.96;if
4;THIRD;24174;31778;false;5468.28;25794.4;28158.08;24162.67;execute misconceive young;8351.73;25444.14;aha ugh if
5;FIRST;22293;24086;true;10437.3;28399.02;11021.79;3654.72;after than;22641.3;5233.17;drag
6;FIRST;15796;24881;true;7944.79;26321.05;23880.81;11073.23;as surgery;24621.51;32645.71;as
7;SECOND;24105;11437;true;27059.03;27395.52;30542.48;10604.62;unimpressively bashfully;21347.55;27076.46;mmm inasmuch
8;SECOND;30615;251;true;10138.7;5025.84;6753.38;10059.88;beyond boiling ugh;10992.02;30904.53;defy unabashedly deliberation
9;THIRD;30930;458;true;32513.63;12224.89;5968.4;12876.7;atop per caboose;20292.82;15431.01;ah
10;FIRST;10173;11609;true;2405.59;14766.5;16173.1;5369.68;though with wisely;6256.65;14190.13;that within since
