id;chapter;month;year;revenue_collected;annual_established_budget;actual_revenue_beginning_to_end_last_month;actual_revenue_during_month;total_revenue_until_end_month;existing_connections;total_actual_revenue;balance_of_clause;comments
1;SECOND;11467;3643;18585.98;27283.21;10083.66;24781.13;16966.5;unto mollycoddle;15277.73;20599.13;mushy out yippee
2;FIRST;15265;5119;19538.57;1289.25;17582.07;29363.9;14914.75;gently aha;3043.63;16340.86;round notwithstanding
3;SECOND;1415;13645;25208.8;9003.13;2675.6;17234.11;16668.88;zowie following whenever;21475.09;3267.31;bamboozle secondary separate
4;SECOND;6871;10733;18715.73;7942.85;28760.75;29319.95;17757.67;inspection strange;18111.67;8212.99;actor
5;FIRST;26059;8566;15224.22;18264.21;30415.99;2885.91;21002;even for;12971.42;24907.47;effect grace quietly
6;THIRD;20835;5543;12436.9;25045.78;24299.79;24179.72;15136.13;mid boo ah;28820.87;10567.92;ecosystem and shadowy
7;FIRST;8900;30204;26980.32;26478.41;29279.19;7802.91;21280.06;throttle amusing;14049.38;9629.66;toward
8;SECOND;28149;8894;9935.37;11374.79;20594.96;28281.55;9204.81;sardonic yum implement;8709.75;27620.2;frantically
9;SECOND;25719;22588;19160.25;31361.82;10350.63;16019.61;16969.68;times including;17100.79;3577.87;off enfeeble
10;SECOND;4180;8080;15121.68;25000.53;608.52;13181.12;26679.65;triumphantly miracle hmph;2464.96;16556.55;zowie gosh times
