id;name;sector_image;sector_image_content_type;sector_image_url
1;paramecium victoriously;../fake-data/blob/hipster.png;image/png;fooey now idolized
2;ugh than ugh;../fake-data/blob/hipster.png;image/png;draft pish
3;month outside well-off;../fake-data/blob/hipster.png;image/png;razor whose within
4;quixotic;../fake-data/blob/hipster.png;image/png;wherever stabilize pish
5;cosset;../fake-data/blob/hipster.png;image/png;unaccountably
6;briefly jolt stun;../fake-data/blob/hipster.png;image/png;yahoo acclimatise atop
7;beyond soon valance;../fake-data/blob/hipster.png;image/png;kebab gladly till
8;excluding crumb;../fake-data/blob/hipster.png;image/png;circa
9;opulent aw;../fake-data/blob/hipster.png;image/png;gadzooks gazump
10;sky extent;../fake-data/blob/hipster.png;image/png;off gosh while
